id,embedding
3597918104681722762_54284618,"[26.82544, 1017.83093, -881.97046, 1028.3809, 313.07227, 58.654694, -522.53406, 1633.0511, 1984.7395, -367.9261, 1814.8998, 751.79767, 630.5718, 197.93835, -2145.8633, -606.0405, 385.36185, 2276.484, -2963.0886, -836.3682, -2462.3877, -693.4457, -868.8402, 1275.9138, -587.4811, -631.5403, -742.3976, -2527.4446, -1533.6683, 1365.4253, -515.2875, 848.01935, 1213.5146, -350.65, -1655.6038, 1360.3035, 1828.1886, -834.5521, -2054.1084, 137.67297, -75.76245, -1166.5159, 1219.7775, 167.76978, 81.3457, 1319.1882, 1801.1685, -1031.319, -3985.6475, 1828.1736, -619.2605, 1687.9922, 2276.3157, 486.78284, -639.9866, 273.083, 886.65344, -609.0798, 280.3816, 1711.0708, -762.3346, -274.51303, 772.8142, -1633.4124]"
3572307178285191786_54284618,"[26.824707, 1017.8315, -881.97144, 1028.3821, 313.07202, 58.653168, -522.53424, 1633.0505, 1984.7405, -367.9251, 1814.8995, 751.7971, 630.5737, 197.93579, -2145.864, -606.0413, 385.3599, 2276.4834, -2963.0898, -836.3672, -2462.3887, -693.4452, -868.84064, 1275.9137, -587.4813, -631.5409, -742.3981, -2527.4448, -1533.6678, 1365.4237, -515.28674, 848.0187, 1213.5164, -350.65103, -1655.604, 1360.3047, 1828.1895, -834.5512, -2054.108, 137.67249, -75.76242, -1166.5161, 1219.7769, 167.77109, 81.3457, 1319.189, 1801.169, -1031.3191, -3985.6472, 1828.1747, -619.26025, 1687.992, 2276.3145, 486.78262, -639.9862, 273.08252, 886.6549, -609.07886, 280.38123, 1711.071, -762.3351, -274.51236, 772.81433, -1633.4135]"
3581958953652804044_54284618,"[26.824707, 1017.8316, -881.9715, 1028.3823, 313.07214, 58.652985, -522.53424, 1633.0505, 1984.7406, -367.92505, 1814.8994, 751.797, 630.57385, 197.93567, -2145.864, -606.0412, 385.35962, 2276.4834, -2963.0898, -836.3673, -2462.389, -693.44525, -868.8408, 1275.9138, -587.4811, -631.541, -742.3982, -2527.4448, -1533.6677, 1365.4237, -515.2868, 848.01855, 1213.5165, -350.65137, -1655.604, 1360.3048, 1828.1895, -834.55133, -2054.1082, 137.6726, -75.76224, -1166.5164, 1219.7769, 167.77121, 81.3457, 1319.189, 1801.1691, -1031.3191, -3985.6472, 1828.1749, -619.26025, 1687.9917, 2276.3145, 486.78265, -639.98596, 273.08252, 886.6549, -609.0789, 280.38135, 1711.071, -762.3352, -274.51236, 772.8142, -1633.4133]"
3558812879329205702_54284618,"[26.823975, 1017.8321, -881.97217, 1028.383, 313.07202, 58.651917, -522.5342, 1633.0499, 1984.7411, -367.92444, 1814.8993, 751.79663, 630.57513, 197.93372, -2145.8643, -606.04193, 385.35846, 2276.4834, -2963.0906, -836.3666, -2462.3896, -693.44495, -868.841, 1275.9138, -587.4811, -631.5413, -742.39856, -2527.445, -1533.6672, 1365.4226, -515.2863, 848.01807, 1213.5178, -350.6519, -1655.6042, 1360.3055, 1828.19, -834.55054, -2054.1077, 137.67224, -75.762115, -1166.5166, 1219.7766, 167.772, 81.34558, 1319.1896, 1801.1697, -1031.3192, -3985.6472, 1828.1755, -619.2601, 1687.9913, 2276.3137, 486.78278, -639.9856, 273.08234, 886.6557, -609.0785, 280.38123, 1711.0708, -762.3356, -274.5121, 772.81445, -1633.4144]"
3556590744943181577_54284618,"[26.826294, 1017.8301, -881.9695, 1028.3794, 313.07227, 58.656403, -522.53406, 1633.0516, 1984.7388, -367.92737, 1814.9, 751.7982, 630.5698, 197.94128, -2145.8628, -606.0397, 385.36386, 2276.4841, -2963.0874, -836.3691, -2462.3867, -693.4459, -868.83984, 1275.9138, -587.4811, -631.5399, -742.3971, -2527.4443, -1533.6688, 1365.427, -515.28815, 848.02026, 1213.5127, -350.6487, -1655.6036, 1360.3024, 1828.1877, -834.5527, -2054.109, 137.6731, -75.7626, -1166.5156, 1219.7776, 167.76819, 81.34558, 1319.1877, 1801.1677, -1031.3193, -3985.648, 1828.1721, -619.2605, 1687.9927, 2276.3167, 486.78278, -639.9873, 273.0835, 886.65234, -609.08057, 280.3816, 1711.0707, -762.3341, -274.51373, 772.81396, -1633.4108]"
3595683159321203024_54284618,"[26.824768, 1017.8314, -881.9713, 1028.3821, 313.07202, 58.65323, -522.5342, 1633.0505, 1984.7402, -367.92535, 1814.8995, 751.7972, 630.5736, 197.93591, -2145.8638, -606.0413, 385.36008, 2276.4834, -2963.0898, -836.36743, -2462.3887, -693.4453, -868.8406, 1275.9138, -587.48114, -631.5409, -742.39813, -2527.445, -1533.668, 1365.4238, -515.28687, 848.01886, 1213.5162, -350.651, -1655.6038, 1360.3046, 1828.1892, -834.5513, -2054.108, 137.67249, -75.76227, -1166.5161, 1219.7769, 167.771, 81.3457, 1319.1891, 1801.169, -1031.3191, -3985.6475, 1828.1746, -619.26025, 1687.9917, 2276.3147, 486.78265, -639.9861, 273.0827, 886.65466, -609.0791, 280.38123, 1711.0708, -762.3352, -274.5126, 772.81396, -1633.4131]"
3601443929708580970_54284618,"[26.824646, 1017.8319, -881.9715, 1028.3823, 313.07202, 58.65277, -522.5343, 1633.0505, 1984.7405, -367.925, 1814.8992, 751.79694, 630.5739, 197.9353, -2145.864, -606.0415, 385.35965, 2276.4834, -2963.0898, -836.36707, -2462.3892, -693.4453, -868.8406, 1275.9136, -587.4809, -631.54114, -742.39844, -2527.4448, -1533.6677, 1365.4233, -515.28656, 848.0186, 1213.5168, -350.6513, -1655.6042, 1360.3049, 1828.1895, -834.55096, -2054.1082, 137.67249, -75.76227, -1166.5164, 1219.7769, 167.7713, 81.3457, 1319.189, 1801.1691, -1031.3188, -3985.6472, 1828.1748, -619.2602, 1687.9917, 2276.3145, 486.78262, -639.9861, 273.08258, 886.655, -609.07886, 280.38098, 1711.0708, -762.33527, -274.51227, 772.81433, -1633.4137]"
3557800023057520554_54284618,"[26.82434, 1017.8319, -881.97205, 1028.3827, 313.07202, 58.652527, -522.53424, 1633.0502, 1984.7408, -367.9248, 1814.8994, 751.79675, 630.57446, 197.9347, -2145.864, -606.0416, 385.35895, 2276.4834, -2963.0903, -836.36707, -2462.3894, -693.4451, -868.84064, 1275.9137, -587.48114, -631.54114, -742.3983, -2527.4448, -1533.6674, 1365.4231, -515.2865, 848.01843, 1213.5171, -350.6515, -1655.6041, 1360.3052, 1828.1897, -834.55096, -2054.108, 137.67249, -75.762146, -1166.5166, 1219.7769, 167.77158, 81.345825, 1319.1891, 1801.1693, -1031.3191, -3985.6472, 1828.1753, -619.26013, 1687.9915, 2276.314, 486.78265, -639.98584, 273.08252, 886.6554, -609.0788, 280.38135, 1711.0709, -762.3354, -274.51233, 772.81445, -1633.4138]"
3604316670938575496_54284618,"[26.82489, 1017.8314, -881.9713, 1028.3818, 313.07202, 58.65341, -522.5342, 1633.0507, 1984.74, -367.9253, 1814.8995, 751.79724, 630.5735, 197.9364, -2145.864, -606.0411, 385.36017, 2276.4834, -2963.0894, -836.3675, -2462.3884, -693.44525, -868.84076, 1275.9136, -587.4811, -631.5408, -742.398, -2527.4446, -1533.668, 1365.424, -515.287, 848.0188, 1213.5161, -350.65088, -1655.6038, 1360.3046, 1828.1892, -834.55145, -2054.108, 137.6726, -75.76233, -1166.5164, 1219.7769, 167.7709, 81.345825, 1319.1888, 1801.169, -1031.3191, -3985.6472, 1828.1746, -619.26025, 1687.9918, 2276.315, 486.78278, -639.9863, 273.08264, 886.65466, -609.0791, 280.38135, 1711.0709, -762.33527, -274.5125, 772.81396, -1633.4131]"
3552899385073722464_54284618,"[26.824646, 1017.8319, -881.9715, 1028.3823, 313.07202, 58.6528, -522.5342, 1633.0507, 1984.7405, -367.925, 1814.8993, 751.797, 630.5739, 197.9353, -2145.864, -606.0415, 385.35974, 2276.4834, -2963.0898, -836.36707, -2462.3892, -693.4453, -868.84064, 1275.9138, -587.4811, -631.54114, -742.39844, -2527.4448, -1533.6677, 1365.4233, -515.28656, 848.01855, 1213.5168, -350.65118, -1655.6042, 1360.305, 1828.1893, -834.55115, -2054.1082, 137.67236, -75.76233, -1166.5161, 1219.7769, 167.7713, 81.3457, 1319.1891, 1801.1692, -1031.319, -3985.6475, 1828.1748, -619.2602, 1687.9917, 2276.3145, 486.78262, -639.9862, 273.08258, 886.655, -609.07886, 280.3811, 1711.0708, -762.3353, -274.51236, 772.8144, -1633.4136]"
3583382089212371814_54284618,"[26.824646, 1017.83154, -881.9715, 1028.3821, 313.07214, 58.653107, -522.5342, 1633.0505, 1984.7405, -367.925, 1814.8994, 751.79706, 630.5737, 197.93567, -2145.864, -606.0412, 385.3599, 2276.4836, -2963.0896, -836.3672, -2462.3887, -693.44525, -868.8407, 1275.9138, -587.48126, -631.541, -742.3982, -2527.4448, -1533.6678, 1365.4238, -515.28674, 848.0187, 1213.5165, -350.6511, -1655.604, 1360.3048, 1828.1895, -834.5512, -2054.108, 137.67249, -75.76239, -1166.5162, 1219.7769, 167.77118, 81.3457, 1319.1891, 1801.169, -1031.3191, -3985.6472, 1828.1748, -619.26013, 1687.9918, 2276.3147, 486.78262, -639.9863, 273.08246, 886.6549, -609.07886, 280.38147, 1711.071, -762.3351, -274.5123, 772.81433, -1633.4133]"
3590625013067163752_54284618,"[26.825745, 1017.83093, -881.9706, 1028.3805, 313.07227, 58.654846, -522.5341, 1633.0514, 1984.7395, -367.92633, 1814.8998, 751.7977, 630.5716, 197.93884, -2145.8633, -606.0405, 385.362, 2276.484, -2963.0884, -836.3683, -2462.3877, -693.44574, -868.8402, 1275.9138, -587.4811, -631.5404, -742.3973, -2527.4446, -1533.6685, 1365.4257, -515.2875, 848.01953, 1213.5142, -350.64987, -1655.6038, 1360.3033, 1828.1885, -834.55206, -2054.1086, 137.67297, -75.76242, -1166.5157, 1219.7775, 167.76944, 81.34595, 1319.1884, 1801.1685, -1031.3193, -3985.6475, 1828.1733, -619.2605, 1687.9924, 2276.316, 486.78268, -639.9866, 273.083, 886.6533, -609.0801, 280.38147, 1711.0712, -762.33466, -274.5131, 772.81415, -1633.4121]"
3585524311525585132_54284618,"[26.825562, 1017.8307, -881.97034, 1028.3804, 313.07227, 58.65497, -522.5342, 1633.0513, 1984.7393, -367.9262, 1814.8997, 751.7978, 630.57135, 197.93921, -2145.863, -606.04034, 385.36215, 2276.484, -2963.0881, -836.36847, -2462.3877, -693.4458, -868.8403, 1275.9136, -587.481, -631.5403, -742.39746, -2527.4443, -1533.6685, 1365.4258, -515.2876, 848.01965, 1213.5139, -350.6496, -1655.6035, 1360.3032, 1828.1882, -834.55237, -2054.1084, 137.6731, -75.76239, -1166.5161, 1219.7776, 167.76935, 81.3457, 1319.1881, 1801.1681, -1031.3191, -3985.6475, 1828.1733, -619.2605, 1687.9923, 2276.316, 486.78278, -639.9868, 273.083, 886.65326, -609.07996, 280.38147, 1711.0708, -762.33466, -274.51337, 772.8141, -1633.4119]"
3560730088620598544_54284618,"[26.825684, 1017.8307, -881.97034, 1028.3802, 313.07227, 58.65506, -522.53406, 1633.0513, 1984.7391, -367.92633, 1814.8997, 751.7978, 630.5713, 197.93933, -2145.8633, -606.04034, 385.36243, 2276.4834, -2963.0884, -836.3685, -2462.3877, -693.4458, -868.8401, 1275.9141, -587.48096, -631.5403, -742.39746, -2527.4446, -1533.6685, 1365.4258, -515.2877, 848.01965, 1213.5139, -350.64954, -1655.6035, 1360.3032, 1828.1882, -834.55225, -2054.1086, 137.6731, -75.7623, -1166.5157, 1219.7776, 167.76935, 81.3457, 1319.1882, 1801.1682, -1031.3191, -3985.648, 1828.1733, -619.2605, 1687.9924, 2276.316, 486.78284, -639.9868, 273.083, 886.6532, -609.0799, 280.3817, 1711.0707, -762.3346, -274.5133, 772.8138, -1633.4119]"
3587088736460016574_54284618,"[26.824158, 1017.832, -881.972, 1028.3832, 313.07202, 58.65207, -522.5344, 1633.05, 1984.7413, -367.9245, 1814.8993, 751.7967, 630.5751, 197.93384, -2145.8643, -606.04193, 385.35852, 2276.4834, -2963.0903, -836.3667, -2462.3896, -693.44507, -868.8409, 1275.9137, -587.48096, -631.5415, -742.39844, -2527.445, -1533.6675, 1365.4226, -515.28625, 848.01807, 1213.5177, -350.6518, -1655.6042, 1360.3054, 1828.1902, -834.5508, -2054.108, 137.67224, -75.762146, -1166.5166, 1219.7766, 167.77194, 81.34558, 1319.1895, 1801.1696, -1031.3191, -3985.6475, 1828.1755, -619.26013, 1687.9915, 2276.3135, 486.78278, -639.9857, 273.08234, 886.6559, -609.07855, 280.38135, 1711.0709, -762.3356, -274.5121, 772.81445, -1633.4143]"
3563091418467765558_54284618,"[26.8255, 1017.83093, -881.97046, 1028.3807, 313.07214, 58.654602, -522.53406, 1633.0511, 1984.7397, -367.92615, 1814.8998, 751.7977, 630.5718, 197.93835, -2145.8633, -606.0405, 385.36185, 2276.484, -2963.0886, -836.36816, -2462.3877, -693.4457, -868.8403, 1275.914, -587.4811, -631.5403, -742.3976, -2527.4443, -1533.6683, 1365.4253, -515.28754, 848.0194, 1213.5146, -350.64996, -1655.6038, 1360.3035, 1828.1886, -834.55225, -2054.1084, 137.67297, -75.76245, -1166.5159, 1219.7775, 167.76978, 81.3457, 1319.1882, 1801.1685, -1031.3191, -3985.6475, 1828.1736, -619.2605, 1687.9922, 2276.3157, 486.7828, -639.9866, 273.083, 886.65344, -609.0798, 280.3816, 1711.0708, -762.3346, -274.51303, 772.8142, -1633.4124]"
3550676448178402187_54284618,"[26.82434, 1017.832, -881.97217, 1028.3834, 313.0719, 58.651703, -522.5343, 1633.0499, 1984.741, -367.92426, 1814.8992, 751.7963, 630.57556, 197.93347, -2145.8645, -606.0422, 385.35825, 2276.4832, -2963.0908, -836.36646, -2462.39, -693.44495, -868.84094, 1275.9138, -587.4811, -631.5416, -742.39844, -2527.4453, -1533.6672, 1365.4225, -515.28613, 848.0181, 1213.5182, -350.65195, -1655.6042, 1360.3057, 1828.1903, -834.55066, -2054.108, 137.67236, -75.762085, -1166.5167, 1219.7766, 167.77249, 81.34558, 1319.1893, 1801.1696, -1031.3191, -3985.6472, 1828.1754, -619.26013, 1687.9913, 2276.314, 486.78275, -639.9855, 273.08234, 886.656, -609.07837, 280.3811, 1711.071, -762.3355, -274.51196, 772.81464, -1633.4144]"
3588412450892270685_54284618,"[26.824646, 1017.8317, -881.9717, 1028.3823, 313.07202, 58.652863, -522.53424, 1633.0503, 1984.7406, -367.925, 1814.8993, 751.79694, 630.57385, 197.9353, -2145.864, -606.0415, 385.35956, 2276.4834, -2963.0898, -836.3673, -2462.3892, -693.4452, -868.8407, 1275.9137, -587.48114, -631.54114, -742.3983, -2527.4448, -1533.6677, 1365.4233, -515.2866, 848.01855, 1213.5166, -350.65125, -1655.6038, 1360.3049, 1828.1895, -834.5512, -2054.1082, 137.67236, -75.762115, -1166.5164, 1219.7769, 167.77136, 81.3457, 1319.1891, 1801.1691, -1031.3191, -3985.6475, 1828.1749, -619.2603, 1687.9917, 2276.3145, 486.78262, -639.98584, 273.08258, 886.655, -609.07886, 280.3811, 1711.0708, -762.33527, -274.5123, 772.81433, -1633.4136]"
3567239454735475547_54284618,"[26.824646, 1017.83154, -881.9714, 1028.3821, 313.07214, 58.653168, -522.53424, 1633.0505, 1984.7405, -367.9251, 1814.8994, 751.7971, 630.5736, 197.93579, -2145.8638, -606.04126, 385.35992, 2276.4834, -2963.0896, -836.3672, -2462.3887, -693.44525, -868.8407, 1275.9138, -587.4813, -631.541, -742.3982, -2527.4448, -1533.6678, 1365.4238, -515.2868, 848.0186, 1213.5165, -350.65103, -1655.604, 1360.3048, 1828.1895, -834.5512, -2054.108, 137.67236, -75.76242, -1166.5162, 1219.7769, 167.77115, 81.345825, 1319.1893, 1801.169, -1031.3191, -3985.6472, 1828.1748, -619.26025, 1687.9918, 2276.3147, 486.78268, -639.9861, 273.08246, 886.65497, -609.07886, 280.38123, 1711.071, -762.33514, -274.51233, 772.81433, -1633.4135]"
